name,default_value
"discovery.uri","----"
"service-inventory.uri","----"
"service-inventory.update-interval","10.00s"
"discovery.trino.pool","general"
"discovery.max-age","30.00s"
"discovery.store-cache-ttl","1.00s"
"dynamic.store.gc-interval","1.00h"
"dynamic.store.remote.max-batch-size","1000"
"dynamic.store.remote.queue-size","1000"
"dynamic.store.remote.update-interval","5.00s"
"dynamic.store.remote.replication-interval","1.00m"
"dynamic.store.tombstone-max-age","1.00d"
"discovery.http-client.https.automatic-shared-secret","[REDACTED]"
"discovery.http-client.use-blocking-connect","false"
"discovery.http-client.connect-timeout","5.00s"
"discovery.http-client.http2.enabled","false"
"discovery.http-client.http2.session-receive-window-size","16MB"
"discovery.http-client.http2.stream-receive-window-size","16MB"
"discovery.http-client.http2.input-buffer-size","8kB"
"discovery.http-client.http-proxy","----"
"discovery.http-client.https.excluded-cipher","[^.*_(MD5|SHA|SHA1)$, ^TLS_RSA_.*$, ^SSL_.*$, ^.*_NULL_.*$, ^.*_anon_.*$]"
"discovery.http-client.https.included-cipher","[]"
"discovery.http-client.idle-timeout","1.00m"
"discovery.http-client.keep-alive-interval","----"
"discovery.http-client.key-store-password","[REDACTED]"
"discovery.http-client.key-store-path","----"
"discovery.http-client.log.buffer-size","1MB"
"discovery.http-client.log.compression.enabled","true"
"discovery.http-client.log.enabled","false"
"discovery.http-client.log.flush-interval","10.00s"
"discovery.http-client.log.max-history","15"
"discovery.http-client.log.max-size","1GB"
"discovery.http-client.log.path","var/log/"
"discovery.http-client.log.queue-size","10000"
"discovery.http-client.max-connections","200"
"discovery.http-client.max-connections-per-server","20"
"discovery.http-client.max-content-length","16MB"
"discovery.http-client.max-requests-queued-per-destination","1024"
"discovery.http-client.max-threads","200"
"discovery.http-client.min-threads","8"
"discovery.http-client.record-request-complete","true"
"discovery.http-client.request-buffer-size","4kB"
"discovery.http-client.request-timeout","5.00m"
"discovery.http-client.response-buffer-size","16kB"
"discovery.http-client.http-proxy.secure","false"
"discovery.http-client.secure-random-algorithm","----"
"discovery.http-client.selector-count","2"
"discovery.http-client.socks-proxy","----"
"discovery.http-client.timeout-concurrency","1"
"discovery.http-client.timeout-threads","1"
"discovery.http-client.trust-store-password","[REDACTED]"
"discovery.http-client.trust-store-path","----"
"discovery.http-client.https.hostname-verification","true"
"dynamic.http-client.https.automatic-shared-secret","[REDACTED]"
"dynamic.http-client.use-blocking-connect","false"
"dynamic.http-client.connect-timeout","5.00s"
"dynamic.http-client.http2.enabled","false"
"dynamic.http-client.http2.session-receive-window-size","16MB"
"dynamic.http-client.http2.stream-receive-window-size","16MB"
"dynamic.http-client.http2.input-buffer-size","8kB"
"dynamic.http-client.http-proxy","----"
"dynamic.http-client.https.excluded-cipher","[^.*_(MD5|SHA|SHA1)$, ^TLS_RSA_.*$, ^SSL_.*$, ^.*_NULL_.*$, ^.*_anon_.*$]"
"dynamic.http-client.https.included-cipher","[]"
"dynamic.http-client.idle-timeout","1.00m"
"dynamic.http-client.keep-alive-interval","----"
"dynamic.http-client.key-store-password","[REDACTED]"
"dynamic.http-client.key-store-path","----"
"dynamic.http-client.log.buffer-size","1MB"
"dynamic.http-client.log.compression.enabled","true"
"dynamic.http-client.log.enabled","false"
"dynamic.http-client.log.flush-interval","10.00s"
"dynamic.http-client.log.max-history","15"
"dynamic.http-client.log.max-size","1GB"
"dynamic.http-client.log.path","var/log/"
"dynamic.http-client.log.queue-size","10000"
"dynamic.http-client.max-connections","200"
"dynamic.http-client.max-connections-per-server","20"
"dynamic.http-client.max-content-length","16MB"
"dynamic.http-client.max-requests-queued-per-destination","1024"
"dynamic.http-client.max-threads","200"
"dynamic.http-client.min-threads","8"
"dynamic.http-client.record-request-complete","true"
"dynamic.http-client.request-buffer-size","4kB"
"dynamic.http-client.request-timeout","5.00m"
"dynamic.http-client.response-buffer-size","16kB"
"dynamic.http-client.http-proxy.secure","false"
"dynamic.http-client.secure-random-algorithm","----"
"dynamic.http-client.selector-count","2"
"dynamic.http-client.socks-proxy","----"
"dynamic.http-client.timeout-concurrency","1"
"dynamic.http-client.timeout-threads","1"
"dynamic.http-client.trust-store-password","[REDACTED]"
"dynamic.http-client.trust-store-path","----"
"dynamic.http-client.https.hostname-verification","true"
"failure-detector.http-client.https.automatic-shared-secret","[REDACTED]"
"failure-detector.http-client.use-blocking-connect","false"
"failure-detector.http-client.connect-timeout","5.00s"
"failure-detector.http-client.http2.enabled","false"
"failure-detector.http-client.http2.session-receive-window-size","16MB"
"failure-detector.http-client.http2.stream-receive-window-size","16MB"
"failure-detector.http-client.http2.input-buffer-size","8kB"
"failure-detector.http-client.http-proxy","----"
"failure-detector.http-client.https.excluded-cipher","[^.*_(MD5|SHA|SHA1)$, ^TLS_RSA_.*$, ^SSL_.*$, ^.*_NULL_.*$, ^.*_anon_.*$]"
"failure-detector.http-client.https.included-cipher","[]"
"failure-detector.http-client.idle-timeout","1.00m"
"failure-detector.http-client.keep-alive-interval","----"
"failure-detector.http-client.key-store-password","[REDACTED]"
"failure-detector.http-client.key-store-path","----"
"failure-detector.http-client.log.buffer-size","1MB"
"failure-detector.http-client.log.compression.enabled","true"
"failure-detector.http-client.log.enabled","false"
"failure-detector.http-client.log.flush-interval","10.00s"
"failure-detector.http-client.log.max-history","15"
"failure-detector.http-client.log.max-size","1GB"
"failure-detector.http-client.log.path","var/log/"
"failure-detector.http-client.log.queue-size","10000"
