version,jar,plugin,config,description,is_deprecated
476,trino-server-476/lib/io.trino_trino-main-476.jar,,http-server.authentication.header.user-mapping.file,"An optional user mapping file containing the mapping rules to be applied to the authenticated principal",false
476,trino-server-476/lib/io.trino_trino-main-476.jar,,retry-max-delay,"Maximum delay before initiating a retry attempt. Delay increases exponentially for each subsequent attempt starting from 'retry_initial_delay'",false
476,trino-server-476/lib/io.trino_trino-main-476.jar,,use-preferred-write-partitioning,"",false
476,trino-server-476/lib/io.trino_trino-main-476.jar,,dynamic-filtering.large-partitioned.max-size-per-operator,"",false
476,trino-server-476/lib/io.trino_trino-main-476.jar,,fault-tolerant-execution-runtime-adaptive-partitioning-partition-count,"The partition count to use for runtime adaptive partitioning when enabled",false
476,trino-server-476/lib/io.trino_trino-main-476.jar,,task.driver-timeout-threads,"Number of threads used for timing out blocked drivers if the timeout is set",false
476,trino-server-476/lib/io.trino_trino-main-476.jar,,sql.default-catalog,"",false
476,trino-server-476/lib/io.trino_trino-main-476.jar,,task.concurrency,"Default number of local parallel jobs per worker",false
476,trino-server-476/lib/io.trino_trino-main-476.jar,,shutdown.grace-period,"",false
476,trino-server-476/lib/io.trino_trino-main-476.jar,,node-scheduler.network-topology.subnet.ip-address-protocol,"",false
476,trino-server-476/lib/io.trino_trino-main-476.jar,,query.max-memory-per-node,"",false
476,trino-server-476/lib/io.trino_trino-main-476.jar,,exchange.max-buffer-size,"",false
476,trino-server-476/lib/io.trino_trino-main-476.jar,,fault-tolerant-execution-exchange-encryption-enabled,"",false
476,trino-server-476/lib/io.trino_trino-main-476.jar,,catalog.disabled-catalogs,"",false
476,trino-server-476/lib/io.trino_trino-main-476.jar,,internal-communication.https.keystore.key,"",false
476,trino-server-476/lib/io.trino_trino-main-476.jar,,catalog.disabled-catalogs,"",false
476,trino-server-476/lib/io.trino_trino-main-476.jar,,protocol.spooling.max-segment-size,"Maximum size of the spooled segments in bytes",false
476,trino-server-476/lib/io.trino_trino-main-476.jar,,fault-tolerant-execution-hash-distribution-write-task-to-node-min-ratio,"Minimal ratio of tasks count vs cluster nodes count for hash distributed writer stage in fault-tolerant execution",false
476,trino-server-476/lib/io.trino_trino-main-476.jar,,http-server.authentication.oauth2.oidc.discovery.timeout,"OpenID Connect discovery timeout",false
476,trino-server-476/lib/io.trino_trino-main-476.jar,,query.max-execution-time,"",false
476,trino-server-476/lib/io.trino_trino-main-476.jar,,enable-large-dynamic-filters,"",false
476,trino-server-476/lib/io.trino_trino-main-476.jar,,fault-tolerant-execution-hash-distribution-write-task-target-max-count,"Soft upper bound on number of writer tasks in a stage of hash distribution of fault-tolerant execution",false
476,trino-server-476/lib/io.trino_trino-main-476.jar,,retry-initial-delay,"Initial delay before initiating a retry attempt. Delay increases exponentially for each subsequent attempt up to 'retry_max_delay'",false
476,trino-server-476/lib/io.trino_trino-main-476.jar,,http-server.authentication.insecure.user-mapping.pattern,"",false
476,trino-server-476/lib/io.trino_trino-main-476.jar,,iterative-optimizer-timeout,"",false
476,trino-server-476/lib/io.trino_trino-main-476.jar,,adaptive-partial-aggregation.unique-rows-ratio-threshold,"Ratio between aggregation output and input rows above which partial aggregation might be adaptively turned off",false
476,trino-server-476/lib/io.trino_trino-main-476.jar,,query.max-history,"",false
476,trino-server-476/lib/io.trino_trino-main-476.jar,,optimizer.skip-redundant-sort,"",false
476,trino-server-476/lib/io.trino_trino-main-476.jar,,driver.page-partitioning-buffer-pool-size,"Maximum number of free buffers in the per task partitioned page buffer pool. Setting this to zero effectively disables the pool",false
476,trino-server-476/lib/io.trino_trino-main-476.jar,,node-scheduler.network-topology.subnet.cidr-prefix-lengths,"",false
476,trino-server-476/lib/io.trino_trino-main-476.jar,,memory.heap-headroom-per-node,"The amount of heap memory to set aside as headroom/buffer (e.g., for untracked allocations)",false
476,trino-server-476/lib/io.trino_trino-main-476.jar,,optimizer.experimental-max-prefetched-information-schema-prefixes,"Experimental: maximum number of internal ""prefixes"" to be prefetched when optimizing information_schema queries",false
476,trino-server-476/lib/io.trino_trino-main-476.jar,,optimizer.dictionary-aggregation,"",false
476,trino-server-476/lib/io.trino_trino-main-476.jar,,dynamic-filtering.small.max-size-per-driver,"",false
476,trino-server-476/lib/io.trino_trino-main-476.jar,,http-server.authentication.allow-insecure-over-http,"Insecure authentication over HTTP (non-secure) enabled",false
