version,jar,plugin,config,description,is_deprecated
372,trino-server-372/plugin/memsql/trino-base-jdbc-372.jar,memsql,decimal-mapping,"Decimal mapping for unspecified and exceeding precision decimals. STRICT skips them. ALLOW_OVERFLOW requires setting proper decimal scale and rounding mode",false
372,trino-server-372/plugin/memsql/trino-base-jdbc-372.jar,memsql,keystore-user-credential-name,"",false
372,trino-server-372/plugin/memsql/trino-base-jdbc-372.jar,memsql,case-insensitive-name-matching.config-file.refresh-period,"",false
372,trino-server-372/plugin/memsql/trino-base-jdbc-372.jar,memsql,insert.non-transactional-insert.enabled,"Do not create temporary table during insert. This means that the write operation can fail and leave the table in an inconsistent state.",false
372,trino-server-372/plugin/memsql/trino-base-jdbc-372.jar,memsql,metadata.cache-ttl,"Determines how long meta information will be cached",false
372,trino-server-372/plugin/memsql/trino-base-jdbc-372.jar,memsql,metadata.cache-missing,"Determines if missing information will be cached",false
372,trino-server-372/plugin/memsql/trino-base-jdbc-372.jar,memsql,connection-url,"",false
372,trino-server-372/plugin/memsql/trino-base-jdbc-372.jar,memsql,keystore-file-path,"",false
372,trino-server-372/plugin/memsql/trino-base-jdbc-372.jar,memsql,unsupported-type-handling,"Unsupported type handling strategy",false
372,trino-server-372/plugin/memsql/trino-base-jdbc-372.jar,memsql,keystore-password,"",false
372,trino-server-372/plugin/memsql/trino-base-jdbc-372.jar,memsql,keystore-password-credential-password,"",false
372,trino-server-372/plugin/memsql/trino-base-jdbc-372.jar,memsql,metadata.cache-maximum-size,"Maximum number of objects stored in the metadata cache",false
372,trino-server-372/plugin/memsql/trino-base-jdbc-372.jar,memsql,connection-credential-file,"Location of the file where credentials are present",false
372,trino-server-372/plugin/memsql/trino-base-jdbc-372.jar,memsql,decimal-default-scale,"Default decimal scale for mapping unspecified and exceeding precision decimals. Not used when decimal_mapping is set to STRICT",false
372,trino-server-372/plugin/memsql/trino-base-jdbc-372.jar,memsql,domain-compaction-threshold,"Maximum ranges to allow in a tuple domain without compacting it",false
372,trino-server-372/plugin/memsql/trino-base-jdbc-372.jar,memsql,keystore-type,"",false
372,trino-server-372/plugin/memsql/trino-base-jdbc-372.jar,memsql,aggregation-pushdown.enabled,"Enable aggregation pushdown",false
372,trino-server-372/plugin/memsql/trino-base-jdbc-372.jar,memsql,keystore-password-credential-name,"",false
372,trino-server-372/plugin/memsql/trino-base-jdbc-372.jar,memsql,connection-password,"Password for JDBC client",false
372,trino-server-372/plugin/memsql/trino-base-jdbc-372.jar,memsql,user-credential-name,"",false
372,trino-server-372/plugin/memsql/trino-base-jdbc-372.jar,memsql,case-insensitive-name-matching.config-file,"",false
372,trino-server-372/plugin/memsql/trino-base-jdbc-372.jar,memsql,remote-query-async-cancellation.enabled,"Enable asynchronous remote query cancellation",false
372,trino-server-372/plugin/memsql/trino-base-jdbc-372.jar,memsql,keystore-user-credential-password,"",false
372,trino-server-372/plugin/memsql/trino-base-jdbc-372.jar,memsql,case-insensitive-name-matching.cache-ttl,"",false
372,trino-server-372/plugin/memsql/trino-base-jdbc-372.jar,memsql,topn-pushdown.enabled,"Enable TopN pushdown",false
372,trino-server-372/plugin/memsql/trino-base-jdbc-372.jar,memsql,jdbc-types-mapped-to-varchar,"",false
372,trino-server-372/plugin/memsql/trino-base-jdbc-372.jar,memsql,connection-user,"user name for JDBC client",false
372,trino-server-372/plugin/memsql/trino-base-jdbc-372.jar,memsql,write.batch-size,"Maximum number of rows to write in a single batch",false
372,trino-server-372/plugin/memsql/trino-base-jdbc-372.jar,memsql,case-insensitive-name-matching,"",false
372,trino-server-372/plugin/memsql/trino-base-jdbc-372.jar,memsql,decimal-rounding-mode,"Rounding mode for mapping unspecified and exceeding precision decimals. Not used whendecimal_mappingis set to STRICT",false
372,trino-server-372/plugin/memsql/trino-base-jdbc-372.jar,memsql,join-pushdown.enabled,"Enable join pushdown",false
372,trino-server-372/plugin/memsql/trino-base-jdbc-372.jar,memsql,credential-provider.type,"",false
372,trino-server-372/plugin/memsql/trino-base-jdbc-372.jar,memsql,password-credential-name,"",false
372,trino-server-372/plugin/memsql/trino-plugin-toolkit-372.jar,memsql,security.refresh-period,"",false
372,trino-server-372/plugin/memsql/trino-plugin-toolkit-372.jar,memsql,jmx.base-name,"",false
372,trino-server-372/plugin/memsql/trino-plugin-toolkit-372.jar,memsql,security.config-file,"",false
372,trino-server-372/plugin/memsql/trino-memsql-372.jar,memsql,memsql.auto-reconnect,"",false
372,trino-server-372/plugin/memsql/trino-memsql-372.jar,memsql,memsql.connection-timeout,"",false
372,trino-server-372/plugin/kinesis/trino-kinesis-372.jar,kinesis,kinesis.log-batches,"Decides whether to log batch fetch details",false
372,trino-server-372/plugin/kinesis/trino-kinesis-372.jar,kinesis,kinesis.table-description-location,"S3 or local filesystem directory location where table schema descriptions are present",false
372,trino-server-372/plugin/kinesis/trino-kinesis-372.jar,kinesis,kinesis.fetch-attempts,"Maximum number of attempts to fetch the next batch from a shard iterator",false
372,trino-server-372/plugin/kinesis/trino-kinesis-372.jar,kinesis,kinesis.dynamo-read-capacity,"DynamoDB read capacity to be set in client",false
372,trino-server-372/plugin/kinesis/trino-kinesis-372.jar,kinesis,kinesis.batch-size,"Limit maximum number of rows to return in a batch",false
372,trino-server-372/plugin/kinesis/trino-kinesis-372.jar,kinesis,kinesis.access-key,"S3 Access Key to access s3 locations",false
372,trino-server-372/plugin/kinesis/trino-kinesis-372.jar,kinesis,kinesis.aws-region,"Region to set while creating S3 client",false
372,trino-server-372/plugin/kinesis/trino-kinesis-372.jar,kinesis,kinesis.table-description-refresh-interval,"How often to get the table description from S3",false
